Participant;Website;Virtual Reality;Tangible Virtual Reality
6;0.25186469610287054;0.09717745415081623;0.17901312349550197
7;0.2085187209190483;0.14747175137406657;0.19803526832452983
8;0.2893570914124723;0.3272980971830107;0.4027319281675843
9;0.14043761864831478;0.1727893665293461;0.09177972980855297
10;0.28003106466023414;0.18195277864367343;0.1667543203847487
11;0.22540004286999793;0.321098575890105;0.31486646064662505
12;0.19700635886873213;0.19861865991928918;0.19619830429384996
13;0.1391746061592192;0.13074811216385687;0.2043205221785915
